font-family,src
HarmonyOS_SansCondensedItalic_Black,../fonts/HarmonyOS_SansCondensedItalic_Black.ttf
HarmonyOS_SansCondensedItalic_Bold,../fonts/HarmonyOS_SansCondensedItalic_Bold.ttf
HarmonyOS_SansCondensedItalic_Light,../fonts/HarmonyOS_SansCondensedItalic_Light.ttf
HarmonyOS_SansCondensedItalic_Medium,../fonts/HarmonyOS_SansCondensedItalic_Medium.ttf
HarmonyOS_SansCondensedItalic_Regular,../fonts/HarmonyOS_SansCondensedItalic_Regular.ttf
HarmonyOS_SansCondensedItalic_Semibold,../fonts/HarmonyOS_SansCondensedItalic_Semibold.ttf
HarmonyOS_SansCondensedItalic_Thin,../fonts/HarmonyOS_SansCondensedItalic_Thin.ttf
HarmonyOS_SansItalic_Black,../fonts/HarmonyOS_SansItalic_Black.ttf
HarmonyOS_SansItalic_Bold,../fonts/HarmonyOS_SansItalic_Bold.ttf
HarmonyOS_SansItalic_Light,../fonts/HarmonyOS_SansItalic_Light.ttf
HarmonyOS_SansItalic_Medium,../fonts/HarmonyOS_SansItalic_Medium.ttf
HarmonyOS_SansItalic_Regular,../fonts/HarmonyOS_SansItalic_Regular.ttf
HarmonyOS_SansItalic_Semibold,../fonts/HarmonyOS_SansItalic_Semibold.ttf
HarmonyOS_SansItalic_Thin,../fonts/HarmonyOS_SansItalic_Thin.ttf
HarmonyOS_SansSC_Black,../fonts/HarmonyOS_SansSC_Black.ttf
HarmonyOS_SansSC_Bold,../fonts/HarmonyOS_SansSC_Bold.ttf
HarmonyOS_SansSC_Light,../fonts/HarmonyOS_SansSC_Light.ttf
HarmonyOS_SansSC_Medium,../fonts/HarmonyOS_SansSC_Medium.ttf
HarmonyOS_SansSC_Regular,../fonts/HarmonyOS_SansSC_Regular.ttf
HarmonyOS_SansSC_Semibold,../fonts/HarmonyOS_SansSC_Semibold.ttf
HarmonyOS_SansSC_Thin,../fonts/HarmonyOS_SansSC_Thin.ttf
HarmonyOS_SansTC_Black,../fonts/HarmonyOS_SansTC_Black.ttf
HarmonyOS_SansTC_Bold,../fonts/HarmonyOS_SansTC_Bold.ttf
HarmonyOS_SansTC_Light,../fonts/HarmonyOS_SansTC_Light.ttf
HarmonyOS_SansTC_Medium,../fonts/HarmonyOS_SansTC_Medium.ttf
HarmonyOS_SansTC_Regular,../fonts/HarmonyOS_SansTC_Regular.ttf
HarmonyOS_SansTC_Semibold,../fonts/HarmonyOS_SansTC_Semibold.ttf
HarmonyOS_SansTC_Thin,../fonts/HarmonyOS_SansTC_Thin.ttf
HarmonyOS_Sans_Black,../fonts/HarmonyOS_Sans_Black.ttf
HarmonyOS_Sans_Bold,../fonts/HarmonyOS_Sans_Bold.ttf
HarmonyOS_Sans_Condensed_Black,../fonts/HarmonyOS_Sans_Condensed_Black.ttf
HarmonyOS_Sans_Condensed_Bold,../fonts/HarmonyOS_Sans_Condensed_Bold.ttf
HarmonyOS_Sans_Condensed_Light,../fonts/HarmonyOS_Sans_Condensed_Light.ttf
HarmonyOS_Sans_Condensed_Medium,../fonts/HarmonyOS_Sans_Condensed_Medium.ttf
HarmonyOS_Sans_Condensed_Regular,../fonts/HarmonyOS_Sans_Condensed_Regular.ttf
HarmonyOS_Sans_Condensed_SemiBold,../fonts/HarmonyOS_Sans_Condensed_SemiBold.ttf
HarmonyOS_Sans_Condensed_Thin,../fonts/HarmonyOS_Sans_Condensed_Thin.ttf
HarmonyOS_Sans_Light,../fonts/HarmonyOS_Sans_Light.ttf
HarmonyOS_Sans_Medium,../fonts/HarmonyOS_Sans_Medium.ttf
HarmonyOS_Sans_Naskh_ArabicUI_Black,../fonts/HarmonyOS_Sans_Naskh_ArabicUI_Black.ttf
HarmonyOS_Sans_Naskh_ArabicUI_Bold,../fonts/HarmonyOS_Sans_Naskh_ArabicUI_Bold.ttf
HarmonyOS_Sans_Naskh_ArabicUI_Heavy,../fonts/HarmonyOS_Sans_Naskh_ArabicUI_Heavy.ttf
HarmonyOS_Sans_Naskh_ArabicUI_Light,../fonts/HarmonyOS_Sans_Naskh_ArabicUI_Light.ttf
HarmonyOS_Sans_Naskh_ArabicUI_Medium,../fonts/HarmonyOS_Sans_Naskh_ArabicUI_Medium.ttf
HarmonyOS_Sans_Naskh_ArabicUI_Regular,../fonts/HarmonyOS_Sans_Naskh_ArabicUI_Regular.ttf
HarmonyOS_Sans_Naskh_ArabicUI_SemiBold,../fonts/HarmonyOS_Sans_Naskh_ArabicUI_SemiBold.ttf
HarmonyOS_Sans_Naskh_ArabicUI_Thin,../fonts/HarmonyOS_Sans_Naskh_ArabicUI_Thin.ttf
HarmonyOS_Sans_Naskh_ArabicUI_UltraLight,../fonts/HarmonyOS_Sans_Naskh_ArabicUI_UltraLight.ttf
HarmonyOS_Sans_Naskh_Arabic_Black,../fonts/HarmonyOS_Sans_Naskh_Arabic_Black.ttf
HarmonyOS_Sans_Naskh_Arabic_Bold,../fonts/HarmonyOS_Sans_Naskh_Arabic_Bold.ttf
HarmonyOS_Sans_Naskh_Arabic_Heavy,../fonts/HarmonyOS_Sans_Naskh_Arabic_Heavy.ttf
HarmonyOS_Sans_Naskh_Arabic_Light,../fonts/HarmonyOS_Sans_Naskh_Arabic_Light.ttf
HarmonyOS_Sans_Naskh_Arabic_Medium,../fonts/HarmonyOS_Sans_Naskh_Arabic_Medium.ttf
HarmonyOS_Sans_Naskh_Arabic_Regular,../fonts/HarmonyOS_Sans_Naskh_Arabic_Regular.ttf
HarmonyOS_Sans_Naskh_Arabic_SemiBold,../fonts/HarmonyOS_Sans_Naskh_Arabic_SemiBold.ttf
HarmonyOS_Sans_Naskh_Arabic_Thin,../fonts/HarmonyOS_Sans_Naskh_Arabic_Thin.ttf
HarmonyOS_Sans_Naskh_Arabic_UltraLight,../fonts/HarmonyOS_Sans_Naskh_Arabic_UltraLight.ttf
HarmonyOS_Sans_Regular,../fonts/HarmonyOS_Sans_Regular.ttf
HarmonyOS_Sans_Semibold,../fonts/HarmonyOS_Sans_Semibold.ttf
HarmonyOS_Sans_Thin,../fonts/HarmonyOS_Sans_Thin.ttf
,
IBM Plex Sans Var-Italic,../fonts/IBM Plex Sans Var-Italic.ttf
IBM Plex Sans Var-Roman,../fonts/IBM Plex Sans Var-Roman.ttf
IBMPlexSansArabic-Bold,../fonts/IBMPlexSansArabic-Bold.ttf
IBMPlexSansArabic-ExtraLight,../fonts/IBMPlexSansArabic-ExtraLight.ttf
IBMPlexSansArabic-Light,../fonts/IBMPlexSansArabic-Light.ttf
IBMPlexSansArabic-Medium,../fonts/IBMPlexSansArabic-Medium.ttf
IBMPlexSansArabic-Regular,../fonts/IBMPlexSansArabic-Regular.ttf
IBMPlexSansArabic-SemiBold,../fonts/IBMPlexSansArabic-SemiBold.ttf
IBMPlexSansArabic-Text,../fonts/IBMPlexSansArabic-Text.ttf
IBMPlexSansArabic-Thin,../fonts/IBMPlexSansArabic-Thin.ttf
IBMPlexSansCondensed-Bold,../fonts/IBMPlexSansCondensed-Bold.ttf
IBMPlexSansCondensed-BoldItalic,../fonts/IBMPlexSansCondensed-BoldItalic.ttf
IBMPlexSansCondensed-ExtraLight,../fonts/IBMPlexSansCondensed-ExtraLight.ttf
IBMPlexSansCondensed-ExtraLightItalic,../fonts/IBMPlexSansCondensed-ExtraLightItalic.ttf
IBMPlexSansCondensed-Italic,../fonts/IBMPlexSansCondensed-Italic.ttf
IBMPlexSansCondensed-Light,../fonts/IBMPlexSansCondensed-Light.ttf
IBMPlexSansCondensed-LightItalic,../fonts/IBMPlexSansCondensed-LightItalic.ttf
IBMPlexSansCondensed-Medium,../fonts/IBMPlexSansCondensed-Medium.ttf
IBMPlexSansCondensed-MediumItalic,../fonts/IBMPlexSansCondensed-MediumItalic.ttf
IBMPlexSansCondensed-Regular,../fonts/IBMPlexSansCondensed-Regular.ttf
IBMPlexSansCondensed-SemiBold,../fonts/IBMPlexSansCondensed-SemiBold.ttf
IBMPlexSansCondensed-SemiBoldItalic,../fonts/IBMPlexSansCondensed-SemiBoldItalic.ttf
IBMPlexSansCondensed-Text,../fonts/IBMPlexSansCondensed-Text.ttf
IBMPlexSansCondensed-TextItalic,../fonts/IBMPlexSansCondensed-TextItalic.ttf
IBMPlexSansCondensed-Thin,../fonts/IBMPlexSansCondensed-Thin.ttf
IBMPlexSansCondensed-ThinItalic,../fonts/IBMPlexSansCondensed-ThinItalic.ttf
IBMPlexSansDevanagari-Bold,../fonts/IBMPlexSansDevanagari-Bold.ttf
IBMPlexSansDevanagari-ExtraLight,../fonts/IBMPlexSansDevanagari-ExtraLight.ttf
IBMPlexSansDevanagari-Light,../fonts/IBMPlexSansDevanagari-Light.ttf
IBMPlexSansDevanagari-Medium,../fonts/IBMPlexSansDevanagari-Medium.ttf
IBMPlexSansDevanagari-Regular,../fonts/IBMPlexSansDevanagari-Regular.ttf
IBMPlexSansDevanagari-SemiBold,../fonts/IBMPlexSansDevanagari-SemiBold.ttf
IBMPlexSansDevanagari-Text,../fonts/IBMPlexSansDevanagari-Text.ttf
IBMPlexSansDevanagari-Thin,../fonts/IBMPlexSansDevanagari-Thin.ttf
IBMPlexSansHebrew-Bold,../fonts/IBMPlexSansHebrew-Bold.ttf
IBMPlexSansHebrew-ExtraLight,../fonts/IBMPlexSansHebrew-ExtraLight.ttf
IBMPlexSansHebrew-Light,../fonts/IBMPlexSansHebrew-Light.ttf
IBMPlexSansHebrew-Medium,../fonts/IBMPlexSansHebrew-Medium.ttf
IBMPlexSansHebrew-Regular,../fonts/IBMPlexSansHebrew-Regular.ttf
IBMPlexSansHebrew-SemiBold,../fonts/IBMPlexSansHebrew-SemiBold.ttf
IBMPlexSansHebrew-Text,../fonts/IBMPlexSansHebrew-Text.ttf
IBMPlexSansHebrew-Thin,../fonts/IBMPlexSansHebrew-Thin.ttf
IBMPlexSansJP-Bold,../fonts/IBMPlexSansJP-Bold.ttf
IBMPlexSansJP-ExtraLight,../fonts/IBMPlexSansJP-ExtraLight.ttf
IBMPlexSansJP-Light,../fonts/IBMPlexSansJP-Light.ttf
IBMPlexSansJP-Medium,../fonts/IBMPlexSansJP-Medium.ttf
IBMPlexSansJP-Regular,../fonts/IBMPlexSansJP-Regular.ttf
IBMPlexSansJP-SemiBold,../fonts/IBMPlexSansJP-SemiBold.ttf
IBMPlexSansJP-Text,../fonts/IBMPlexSansJP-Text.ttf
IBMPlexSansJP-Thin,../fonts/IBMPlexSansJP-Thin.ttf
IBMPlexSansKR-Bold,../fonts/IBMPlexSansKR-Bold.ttf
IBMPlexSansKR-ExtraLight,../fonts/IBMPlexSansKR-ExtraLight.ttf
IBMPlexSansKR-Light,../fonts/IBMPlexSansKR-Light.ttf
IBMPlexSansKR-Medium,../fonts/IBMPlexSansKR-Medium.ttf
IBMPlexSansKR-Regular,../fonts/IBMPlexSansKR-Regular.ttf
IBMPlexSansKR-SemiBold,../fonts/IBMPlexSansKR-SemiBold.ttf
IBMPlexSansKR-Text,../fonts/IBMPlexSansKR-Text.ttf
IBMPlexSansKR-Thin,../fonts/IBMPlexSansKR-Thin.ttf
IBMPlexSansSC-Bold,../fonts/IBMPlexSansSC-Bold.ttf
IBMPlexSansSC-ExtraLight,../fonts/IBMPlexSansSC-ExtraLight.ttf
IBMPlexSansSC-Light,../fonts/IBMPlexSansSC-Light.ttf
IBMPlexSansSC-Medium,../fonts/IBMPlexSansSC-Medium.ttf
IBMPlexSansSC-Regular,../fonts/IBMPlexSansSC-Regular.ttf
IBMPlexSansSC-SemiBold,../fonts/IBMPlexSansSC-SemiBold.ttf
IBMPlexSansSC-Text,../fonts/IBMPlexSansSC-Text.ttf
IBMPlexSansSC-Thin,../fonts/IBMPlexSansSC-Thin.ttf
IBMPlexSansTC-Bold,../fonts/IBMPlexSansTC-Bold.ttf
IBMPlexSansTC-ExtraLight,../fonts/IBMPlexSansTC-ExtraLight.ttf
IBMPlexSansTC-Light,../fonts/IBMPlexSansTC-Light.ttf
IBMPlexSansTC-Medium,../fonts/IBMPlexSansTC-Medium.ttf
IBMPlexSansTC-Regular,../fonts/IBMPlexSansTC-Regular.ttf
IBMPlexSansTC-SemiBold,../fonts/IBMPlexSansTC-SemiBold.ttf
IBMPlexSansTC-Text,../fonts/IBMPlexSansTC-Text.ttf
IBMPlexSansTC-Thin,../fonts/IBMPlexSansTC-Thin.ttf
IBMPlexSansThai-Bold,../fonts/IBMPlexSansThai-Bold.ttf
IBMPlexSansThai-ExtraLight,../fonts/IBMPlexSansThai-ExtraLight.ttf
IBMPlexSansThai-Light,../fonts/IBMPlexSansThai-Light.ttf
IBMPlexSansThai-Medium,../fonts/IBMPlexSansThai-Medium.ttf
IBMPlexSansThai-Regular,../fonts/IBMPlexSansThai-Regular.ttf
IBMPlexSansThai-SemiBold,../fonts/IBMPlexSansThai-SemiBold.ttf
IBMPlexSansThai-Text,../fonts/IBMPlexSansThai-Text.ttf
IBMPlexSansThai-Thin,../fonts/IBMPlexSansThai-Thin.ttf
IBMPlexSansThaiLooped-Bold,../fonts/IBMPlexSansThaiLooped-Bold.ttf
IBMPlexSansThaiLooped-ExtraLight,../fonts/IBMPlexSansThaiLooped-ExtraLight.ttf
IBMPlexSansThaiLooped-Light,../fonts/IBMPlexSansThaiLooped-Light.ttf
IBMPlexSansThaiLooped-Medium,../fonts/IBMPlexSansThaiLooped-Medium.ttf
IBMPlexSansThaiLooped-Regular,../fonts/IBMPlexSansThaiLooped-Regular.ttf
IBMPlexSansThaiLooped-SemiBold,../fonts/IBMPlexSansThaiLooped-SemiBold.ttf
IBMPlexSansThaiLooped-Text,../fonts/IBMPlexSansThaiLooped-Text.ttf
IBMPlexSansThaiLooped-Thin,../fonts/IBMPlexSansThaiLooped-Thin.ttf
,
JetBrainsMono-Bold,../fonts/JetBrainsMono-Bold.woff2
JetBrainsMono-BoldItalic,../fonts/JetBrainsMono-BoldItalic.woff2
JetBrainsMono-ExtraBold,../fonts/JetBrainsMono-ExtraBold.woff2
JetBrainsMono-ExtraBoldItalic,../fonts/JetBrainsMono-ExtraBoldItalic.woff2
JetBrainsMono-ExtraLight,../fonts/JetBrainsMono-ExtraLight.woff2
JetBrainsMono-ExtraLightItalic,../fonts/JetBrainsMono-ExtraLightItalic.woff2
JetBrainsMono-Italic,../fonts/JetBrainsMono-Italic.woff2
JetBrainsMono-Light,../fonts/JetBrainsMono-Light.woff2
JetBrainsMono-LightItalic,../fonts/JetBrainsMono-LightItalic.woff2
JetBrainsMono-Medium,../fonts/JetBrainsMono-Medium.woff2
